"id","spotify_track_id","name","album","release_date"
USSM10904108,"7gA5OQWsvAY7HhazroFuwI","Save Me, San Francisco","Save Me, San Francisco (Golden Gate Edition)",2009-10-26
USJAY1100093,"1LomM3L6atrf79ZL7nHDp4",Shake Senora,Planet Pit (Deluxe Version),2011-06-17
USWB11100867,"78mehkHd1WUDxhcLXkbrLb",So In Love,The Light of the Sun,2011-06-21
USUM71110264,"2wiqgrwf8TCTdj366lYNCS",The Man Who Can't Be Moved,The Man Who Can’t Be Moved (The Voice Performance),2011-01-01
USWD11156880,"5qgAvjSTbjkTfICvUMH9WS",Watch Me,Watch Me (featuring Bella Thorne and Zendaya),2011-07-12
USUM71110607,"06Km3ZJ7x5Bbw6BzwvKNgq",Afraid To Sleep,Afraid To Sleep (The Voice Performance),2011-06-28
USUM71110629,"4RphIJB5s1N2TTrQFFMxb4",Beautiful,Beautiful (The Voice Performance),2011-06-28
USUM71108801,"11OFYsUK9EVJsQ6nutH32M",Here For A Good Time,Here For A Good Time,2011-06-28
USUM71108546,"5VKsvhjnjQ3IAspPjGiNPf",High,Finally Famous (Deluxe),2011-06-28
USUM71110608,"6XscPNlnKw0mnVYE7kvWRj",I Won't Back Down,I Won't Back Down (The Voice Performance),2011-06-27
USUM71110597,"2oc1Oh7ONhVDBTvwQy8xBx",Inventing Shadows,Inventing Shadows (The Voice Performance),2011-06-28
GB28K1100020,"6JH56gZC7EJDcoxabVcWVL",Little Bad Girl,Nothing but the Beat 2.0,2011-08-24
GBAYE1101194,"6maXBs9zUY48m1UNHgTeRC",Major Minus,Mylo Xyloto,2011-10-19
USUM71110610,"2zSxo9FebD1H3kk7bTxNzA",Man In The Mirror,Man In The Mirror (The Voice Performance),2011-01-01
GBAYE1100988,"0kuv7BqWNDprDao3Tb5flN",Moving To Mars,Every Teardrop Is a Waterfall,2011-06-26
USRE11100308,"3Ju48PMNQkAGxjJCbWcfeM",Pretty Girls,Pretty Girls (feat. Travie McCoy),2011-06-24
USUM71110587,"54QbmsN1P8JKzJlKfEVPLe",Stitch By Stitch,Stitch By Stitch (The Voice Performance),2011-01-01
USUM70905933,"3ga3cmO4mb9dMhysyJUEaH",I Wouldn't Be A Man,Haywire,2010-02-09
USUM71107257,"4osgfFTICMkcGbbigdsa53",Novacane,Novacane,2011-02-16
USRC11100011,"4bia7OWZPoswlzXCqESYrR",Smile,Goodbye Lullaby (Expanded Edition),2011-03-02
USUM71025734,"4cyYC67XY3weSVmSLdKLP8",Taboo,Meet The Orphans,2010-11-16
USRW31100002,"76Je5Wklky23mVoxiRszcN",Walk,Wasting Light,2011-04-08
USQX91100801,"2wAJTrFhCnQyNSD3oUgTZO",Work Out,Cole World: The Sideline Story,2011-06-27
USJI11100153,"6QgkOxBXqVRjZ1JcIDbDYY",Booty Wurk (One Cheek At A Time),Happy Hour: The Greatest Hits,2014-10-31
USWB11101784,"0w9LJae3sVlZlH2CnxTInF",God Gave Me You,Red River Blue (Deluxe Edition),2011-07-12
USCN11000250,"3PY88239tYBnAv5LQoU2oY",Long Hot Summer,Get Closer (Deluxe Version),2010-11-16
ROCRP1002864,"6HTprulGfeFVrLLvfi3t8a",Mr. Saxobeat,Saxobeats,2011-02-14
USHR11132837,"4B3RmT3cGvh8By3WY9pbIx",Skyscraper,Unbroken,2011-07-12
USUM71110923,"0sqQ9N6hY0ieocwrgxgJ9F",Up All Night,Neighborhoods (Deluxe),2011-07-19
USUM71102907,"5qP1EhyVCDgyjqEMoJPUWA",What If,All Of You,2011-07-08
USAT21100959,"16Of7eeW44kt0a1M0nitHM",You Make Me Feel...,Night Shades,2011-05-10
USUM71109113,"5xpmdbQcfIOsE1hACcC3UK",Marvin & Chardonnay,Finally Famous (Deluxe),2011-06-28
USCM51100267,"047fCsbO4NdmwCBn8pcUXl",Marvins Room,Take Care (Deluxe),2011-11-15
USKO11100719,"6NRnQf2OAVTWVV9joDKqzZ",Oh My,Third Power,2011-10-11
USUM71111634,"14I61w6cyYUHiV2n28IYdP",Otis,Watch The Throne,2011-08-08
USUM71109469,"75Mf2hYXJI5pVV0qDYUBoj",Outlaw,Outlaw,2011-01-01
USJI10900603,"4isk4UYRcmslphcTq61xUg",Quickie,All I Want Is You,2010-11-30
USWB11101940,"0PgNhIg5n0UAOBVn43b8b6",The Adventures Of Rain Dance Maggie,I'm with You,2011-07-15
USUM71026595,"3DDBW9yeXc0RQUAOBeKYti",Cheers (Drink To That),Loud,2010-08-18
USUM71026669,"61s24wRVyG7NP9m7EjdDKL",Don't Stop The Party,The Beginning,2010-11-26
USVG21102774,"6plKFdrBnKF0y3CRuceTDh",Faster,Modern Love,2011-06-17
US7M71000178,"3vkieK8FFhFnPtNRGAqVu1",Fish,Craig Campbell,2011-04-05
USSM11103319,"1ea97AUSazu2QZw9BnHJqK",Gucci Gucci,Somethin 'Bout Kreay,2011-06-14
USAN21000010,"1HYKv0B6bYycqpxWHydKy9",One More Drinkin' Song,Judge Jerrod & The Hung Jury,2010-07-13
GBBKS1000349,"5mFMb5OHI3cN0UjITVztCj",Rumour Has It,"21",2011-01-19
USCM51100101,"5Wai28nfJ3zPguEy2gPDvx",Far Away,Careless World: Rise Of The Last King,2011-05-17
USUM71105330,"1pbHy9VBpSyZh56xuujZz0",In The Dark,The Night The Sun Came Up,2011-04-26
USUM71110029,"0RUXHlYhA057fCOe2vqIqu",Ships In The Night,Young Love,2011-08-02
GB7TP1100153,"4IU4LkwVDUxRIokzHqiyhQ",Till I'm Gone,Disc-Overy,2010-05-31
US5Z50900074,"7bseyVqpUniHqm4kkOzsvu",Under And Over It,American Capitalist (Deluxe Edition),2011-10-11
USG4X1100042,"1hTSImeofoaFWptq9JSFpP",Baggage Claim,Four The Record,2011-08-16
USCN11100147,"3kv6omImmKEfOVJWjstusF",Drunk On You,Tailgates & Tanlines,2011-08-09
USCM51100290,"6LxSe8YmdPxy095Ux6znaQ",Headlines,Take Care (Deluxe),2011-11-15
USWB11102211,"4fINc8dnfcz7AdhFYVA4i7",It Girl,Future History (Deluxe Edition),2011-09-16
USUM71110173,"4N4CHJqFZHyB7SBUuSFu1y",Mrs. Right,#1 Girl,2011-01-01
USUM71111621,"1auxYwYrFRqZP7t3s7w4um",Ni**as in Paris,Watch The Throne,2011-08-08
GBARL1000955,"3cdhgO3vgHyOIADMXokd2t",Nothing,Science & Faith,2010-09-13
USUG12302074,"3MytWN8L7shNYzGl4tAKRp",Sparks Fly,Speak Now (Taylor's Version),2023-07-07
GB28K1100036,"0lHAMNU8RGiIObScrsRgmP",Titanium,Nothing but the Beat 2.0,2011-08-24
USWU31100059,"0uOo8xRtQ6okTZMR89ppVk",What You Want,Evanescence,2011-08-09
USUM71111640,"2eqOjSC8dY1iFrQiJGPDOX",Who Gon Stop Me,Watch The Throne,2011-08-08
USUM71103756,"5YTtTbqxUzJHD3CpbNHerP",Brighter Than The Sun,All Of You,2011-05-23
USUM71029856,"7pAq1IXYZpL42HchCminu6",Don't Hold Your Breath,Killer Love,2011-03-14
USQY51124086,"7535tsCb3sF5bfOGS1AXno",Frick Park Market,Blue Slide Park,2011-08-18
US58E1000270,"4CZn46J2gbCP3MUaQVsCEU",I Got You,Thompson Square,2011-02-08
USCM51100309,"78O33U6jbQtNiNfbkZudpd",She Will,Tha Carter IV (Explicit Version),2011-08-29
USCN11100082,"7BSZJLXPTktuZZAe8VYbbF",We Owned The Night,Own The Night,2011-08-12
USAN21100021,"41TDpmZqjVfCEFE8yMNhGc",Cost Of Livin',Ronnie Dunn (Expanded Edition),2011-06-07
USG4X1100032,"0sgnJ5LFjEy2IuQ99NEZ1C",Hell On Heels,Hell On Heels,2011-08-23
USUM71112231,"4GwbSrCJFRze2tK4H12Zew",I'm Gonna Love You Through It,Eleven,2011-07-24
USCRB1009391,"1dXUWskP4zy7Inqpfy5hf6",Love Don't Run,Love Don't Run,2011-09-13
USUM71112097,"1UIcqXAA24eg76EFWViwr5",Martians Vs Goblins,The R.E.D. Album,2011-08-19
GB28K1100035,"3edtfOPItUNifLGYHIH1Oj",Night Of Your Life,Nothing but the Beat 2.0,2011-08-24
USWB11100878,"5BIO6OOLusXv7vArG6zcO0",That Way,Ambition (Deluxe Version),2011-05-23
GBUM71107703,"3RiOPzAvhNKuMIdPYOrKV8",What The Water Gave Me,Ceremonials (Deluxe Edition),2011-08-23
USJI11100070,"0iSaO7CfL9NgXdM8Meu2ul",Beautiful People,F.A.M.E. (Expanded Edition),2011-03-18
USCM51100303,"1W4Ru2eqGagugALBESAse4",Blunt Blowin,Tha Carter IV (Explicit Version),2011-08-29
USCN11100175,"61Y7PmzhuL79y87aS9nesX",Dancin' Away With My Heart,Own The Night,2011-08-26
USCM51000717,"2E1RGgFtr1X4H6glXOtABo",Fly,Pink Friday,2010-11-21
USAT21101961,"2LEF1A8DOZ9wRYikWgVlZ8",Good Feeling,Wild Ones,2011-08-29
USCM51100311,"2ZiMQKIieJ7GTRYnO8fP8p",How To Hate,Tha Carter IV (Complete Edition),2011-08-29
