id,name,genres,followers,musicbrainz_id,type,country_of_origin,date_of_origin,year_of_origin,disambiguation,needs_review
7EQ0qTo7fWT7DPxmxtSYEc,Bastille,[],5672095.0,7808accb-6395-4b25-858c-678bbb73896b,Group,GB,,2010,British indie pop band,False
6MDME20pz9RveH9rEXvrOM,Clean Bandit,[],6041565.0,dacc2d64-7e59-42a8-87a9-10c53919aff2,Group,GB,,2008,,False
4ScCswdRlyA23odg9thgIO,Jess Glynne,[],3180774.0,89ccd7c3-b4f8-45a6-a53f-e903eaaf96be,Person,GB,,1989-10-20,,False
6pBNfggcZZDCmb0p92OnGn,Chase Rice,"['country', 'acoustic country']",1265242.0,79c478c4-9bd7-42f1-8d26-f3c45ac49258,Person,US,,1986-09-19,,False
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,[],27307441.0,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,Person,US,,1992-08-20,,False
4m4SfDVbF5wxrwEjDKgi4k,Cher Lloyd,[],2538375.0,bfcc6d75-a6a5-4bc6-8282-47aec8531818,Person,US,,1946-05-20,,False
10exVja0key0uqUkk6LJRT,Vance Joy,['folk pop'],3529972.0,df36f6db-5987-46ed-9d02-0cf36ed4e060,Person,AU,,1987-12-01,Australian singer-songwriter,False
13YmWQJFwgZrd4bf5IjMY4,Brad Paisley,['country'],2916053.0,6cfd7ffc-824f-4219-8e27-4b9417700f44,Person,US,,1972-10-28,,False
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,"['country', 'acoustic country']",9464321.0,4dbf5678-7a31-406a-abbe-232f8ac2cd63,Person,CA,,1959-11-05,Canadian singer/songwriter,False
0DxeaLnv6SyYk2DOqkLO8c,MAGIC!,[],1662132.0,ac5af671-1df0-4312-8b7b-e61992ecc883,Group,JP,,1978,,False
4obzFoKoKRHIphyHzJ35G3,Becky G,"['reggaeton', 'latin']",16825969.0,9567ea4f-7321-400d-a134-ad5f45b67335,Person,DE,,1949-12-04,"German Schlager singer, aka Gerd Grabowski",False
5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,"['country', 'country rock', 'country hip hop', 'acoustic country']",3035208.0,9ad8aede-6938-48f2-93fa-908bc4da9ef6,Person,US,,1985-01-20,,False
30e8DmahrEamvLbFRPdWmk,Justin Moore,"['country', 'acoustic country']",1923471.0,a8806b5c-3ee0-4277-94d3-1a5427a7707c,Person,GB,,1952-04-04,"Thin Lizzy, blues guitar",False
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,"['country', 'acoustic country', 'pop country']",5022824.0,bca8bfc0-9d5b-449b-b713-914596f88d56,Person,US,,1990-03-30,American country music singer and songwriter,False
4TONBKcqVR1LmPdfJxvkMU,Eric Paslay,"['country', 'acoustic country']",469952.0,618b6900-0618-4f1e-b835-bccb17f84294,Person,GB,,1945-03-30,,False
1hzfo8twXdOegF3xireCYs,Milky Chance,[],2093613.0,6d230d98-fb8d-4421-a6e8-daca4e55d53e,Group,DE,,2012,,False
07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid,[],464850.0,112beffb-1adc-488b-8d61-7b2ab3475d52,Person,US,,1984-11-23,,False
7CajNmpbOovFoOoasH2HaY,Calvin Harris,['edm'],23171950.0,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,Person,,,1984-01-17,Scottish DJ and producer,False
0dvKgSdNB2U1gfp6ZcekYi,Frankie Ballard,"['country', 'acoustic country']",353916.0,bb56bf3b-053d-470a-945e-fb6943c03214,Person,US,,1913-03-30,,False
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,[],12511979.0,6de0f914-3e60-4418-be3b-42e0feb6eb4d,Person,US,,1989-09-21,,False
540vIaP2JwjQb9dm3aArA4,DJ Snake,[],9426004.0,31445b1e-96f3-4c7f-84ec-dd02e647e690,Person,FR,,1986-06-13,French EDM/Trap producer William Grigahcine,False
7sfl4Xt5KmfyDs2T3SVSMK,Lil Jon,['crunk'],1708242.0,ac9a487a-d9d2-4f27-bb23-0f4686488345,Person,US,,1982-09-27,,False
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,[],14757994.0,7fb57fba-a6ef-44c2-abab-2fa3bdee607e,Person,US,,1983-09-25,,False
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"['edm', 'trance', 'big room', 'house']",8064864.0,aabb1d9f-be12-45b3-a84d-a1fc3e8181fd,Person,NL,,1969-01-17,Dutch DJ and record producer,False
1mU61l2mcjEFraXZLpvVMo,Matthew Koma,[],103113.0,f387841c-9bc7-47e9-b78b-6fb7834ac71f,Person,US,,1987-06-02,,False
1By9QBFnjZAoI83BZppHlt,Billy Currington,"['country', 'acoustic country']",2780681.0,dbf94c49-0dd9-4f72-85d5-f548beb453f6,Person,US,,1973-11-19,,False
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,['rap'],12196675.0,f5dfa020-ad69-41cd-b3d4-fd7af0414e94,Person,US,,1987-09-08,US rapper,False
4BYxqVkZyFjtik7crYLg5Q,Chris Young,"['country', 'acoustic country']",2938953.0,75167b8b-44e4-407b-9d35-effe87b223cf,Person,CA,,1945-11-12,"Canadian singer, songwriter & musician",False
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,"['g-funk', 'west coast hip hop', 'gangster rap', 'old school hip hop', 'hip hop', 'rap']",16073766.0,f90e8b26-9e52-4669-a5c9-e28529c47894,Person,US,,1971-10-20,US rapper,False
1INuLZXjjVbcJRyWvD1iSq,Jack & Jack,[],1376826.0,51f447ee-e5ba-4cc1-b27c-42ea5a6103ec,Group,US,,2013,Hip-Hop Duo Jack Gilinsky & Jack Johnson,False
4aJTB79uwT4sP0Nb8QGWHc,Joe Nichols,"['country', 'acoustic country']",873198.0,32f2d6bd-c22b-42cf-a7bc-0c4b48cd2bcb,Person,GB,,1944-05-20,,False
0NWbwDZY1VkRqFafuQm6wk,Mike WiLL Made-It,[],1676013.0,5a2071aa-0787-49fb-931c-fa85ba86e681,Person,US,,1989-03-23,,False
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,[],26816305.0,7e9bd05a-117f-4cce-87bc-e011527a8b18,Person,US,,1992-11-23,,False
66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,['country'],3725536.0,4eca1aa0-c79f-481b-af8a-4a2d6c41aa5c,Person,US,,1983-11-10,,False
0c173mlxpT3dSFRgMO8XPh,Big Sean,[],11594705.0,942a9807-9c1a-4a0e-a285-1fde2c5be9d1,Person,US,,1988-03-25,,False
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"['edm', 'electronica', 'progressive house']",15132318.0,3e1f2ee4-16be-4406-bf18-6173840cf2b1,Person,NL,,1996-05-15,,False
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"['art pop', 'pop']",43510051.0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Person,US,,1986-03-28,,False
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"['rap', 'hip hop']",105952882.0,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Person,US,,1972-10-17,US rapper,False
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,[],40518501.0,1a425bbd-cca4-4b2c-aeb7-71cb176c828a,Group,,,2010-07-23,English‐Irish pop boy band,False
5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,['r&b'],9749295.0,ceb3f5b7-9f1a-430f-afbe-976fdcf30482,Person,US,,1988-03-16,,False
0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,[],1985894.0,ddfd9b2f-186e-4b2c-ad09-01aa5380c225,Person,US,,1977-03-10,,False
67nwj3Y5sZQLl72VNUHEYE,Wale,[],4323266.0,e34e41f2-f480-45d3-8190-a3ce5ab34fab,Person,US,,1984-09-21,US rapper,False
2Sqr0DXoaYABbjBo9HaMkM,Sara Bareilles,[],1997616.0,e54be6b7-5c26-4b47-bb3f-c137429b9b55,Person,US,,1979-12-07,,False
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,[],13341702.0,33ca19f4-18c8-4411-98df-ac23890ce9f5,Person,GB,,1986-12-30,,False
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,[],2884322.0,b6d7ec94-830c-44dd-b699-ce66556b7e55,Person,US,,1983-06-19,,False
5mZJerulcERBZV7xnhrVp1,Ryan Lewis,[],16526.0,b59ac58d-036e-4bba-8112-c32a34c4575b,Person,US,,1935-09-29,"rock & roll pianist, nicknamed “The Killer”",False
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,[],2728929.0,97b226c8-7140-4da3-91ac-15e62e131a81,Group,US,,2009,,False
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,[],136355.0,2ce02909-598b-44ef-a456-151ba0a3bd70,Person,US,,1930-09-23,"soul musician, singer and songwriter",False
